Distance_(m),Gray_Value
0.0286406,75.060
0.0287009,74.139
0.0287612,71.925
0.0288215,68.749
0.0288818,66.090
0.0289421,64.307
0.0290024,65.573
0.0290627,68.090
0.0291230,68.869
0.0291833,66.348
0.0292436,67.139
0.0293039,68.187
0.0293642,76.094
0.0294245,80.206
0.0294848,84.176
0.0295451,86.322
0.0296054,89.794
0.0296657,89.906
0.0297260,82.382
0.0297863,72.165
0.0298465,68.187
0.0299068,68.337
0.0299671,68.779
0.0300274,69.333
0.0300877,70.262
0.0301480,71.509
0.0302083,71.951
0.0302686,71.959
0.0303289,76.959
0.0303892,76.015
0.0304495,74.745
0.0305098,73.049
0.0305701,70.738
0.0306304,67.056
0.0306907,63.895
0.0307510,61.090
0.0308113,61.948
0.0308716,60.487
0.0309319,60.925
0.0309922,61.715
0.0310525,63.210
0.0311128,63.547
0.0311731,62.685
0.0312334,60.446
0.0312937,53.955
0.0313540,52.330
0.0314142,50.974
0.0314745,50.322
0.0315348,51.157
0.0315951,52.045
0.0316554,53.071
0.0317157,52.056
0.0317760,47.936
0.0318363,47.071
0.0318966,39.873
0.0319569,28.757
0.0320172,20.300
0.0320775,16.667
0.0321378,16.678
0.0321981,16.667
0.0322584,29.232
0.0323187,28.139
0.0323790,26.697
0.0324393,26.004
0.0324996,26.292
0.0325599,28.528
0.0326202,30.861
0.0326805,33.978
0.0327408,34.532
0.0328011,35.592
0.0328614,39.876
0.0329216,46.884
0.0329819,53.262
0.0330422,56.884
0.0331025,58.757
0.0331628,62.142
0.0332231,56.079
0.0332834,55.397
0.0333437,54.955
0.0334040,56.360
0.0334643,58.213
0.0335246,57.674
0.0335849,55.891
0.0336452,53.064
0.0337055,57.719
0.0337658,63.569
0.0338261,69.000
0.0338864,68.846
0.0339467,64.603
0.0340070,61.648
0.0340673,63.506
0.0341276,66.000
0.0341879,58.644
0.0342482,56.146
0.0343085,54.060
0.0343688,57.865
0.0344290,66.030
0.0344893,71.577
0.0345496,71.704
0.0346099,69.738
0.0346702,67.262
0.0347305,66.483
0.0347908,64.873
0.0348511,64.172
0.0349114,64.491
0.0349717,63.805
0.0350320,63.315
0.0350923,62.539
0.0351526,62.000
0.0352129,62.000
0.0352732,61.667
0.0353335,61.360
0.0353938,61.476
0.0354541,61.453
0.0355144,62.067
0.0355747,61.569
0.0356350,63.625
0.0356953,64.596
0.0357556,67.341
0.0358159,68.753
0.0358762,69.401
0.0359364,68.243
0.0359967,67.154
0.0360570,65.854
0.0361173,64.064
0.0361776,68.322
0.0362379,73.000
0.0362982,73.060
0.0363585,73.116
0.0364188,70.543
0.0364791,72.210
0.0365394,74.715
0.0365997,77.760
0.0366600,78.112
0.0367203,79.157
0.0367806,79.390
0.0368409,79.360
0.0369012,78.494
0.0369615,79.337
0.0370218,79.270
0.0370821,78.607
0.0371424,77.948
0.0372027,80.356
0.0372630,83.019
0.0373233,85.045
0.0373836,85.700
0.0374439,84.356
0.0375041,82.341
0.0375644,83.000
0.0376247,83.326
0.0376850,85.599
0.0377453,85.577
0.0378056,87.517
0.0378659,89.146
0.0379262,89.554
0.0379865,90.255
0.0380468,91.577
0.0381071,92.798
0.0381674,93.959
0.0382277,93.547
0.0382880,94.262
0.0383483,95.041
0.0384086,95.914
0.0384689,95.217
0.0385292,97.888
0.0385895,97.172
0.0386498,96.592
0.0387101,96.004
0.0387704,95.584
0.0388307,95.135
0.0388910,95.262
0.0389513,95.139
0.0390115,95.345
0.0390718,95.783
0.0391321,96.678
0.0391924,96.644
0.0392527,97.464
0.0393130,97.603
0.0393733,99.090
0.0394336,99.824
0.0394939,100.921
0.0395542,100.554
0.0396145,99.981
0.0396748,99.022
0.0397351,97.921
0.0397954,95.640
0.0398557,93.813
0.0399160,92.206
0.0399763,86.536
0.0400366,84.491
0.0400969,85.131
0.0401572,89.757
0.0402175,97.030
0.0402778,98.970
0.0403381,100.094
0.0403984,99.026
0.0404587,100.843
0.0405190,100.131
0.0405792,100.461
0.0406395,99.139
0.0406998,97.637
0.0407601,95.801
0.0408204,95.667
0.0408807,96.176
0.0409410,98.371
0.0410013,96.573
0.0410616,96.247
0.0411219,95.899
0.0411822,93.427
0.0412425,84.592
0.0413028,82.880
0.0413631,85.030
0.0414234,93.644
0.0414837,95.169
0.0415440,96.292
0.0416043,95.824
0.0416646,94.139
0.0417249,90.075
0.0417852,83.285
0.0418455,80.206
0.0419058,87.715
0.0419661,86.966
0.0420264,85.835
0.0420866,85.438
0.0421469,85.479
0.0422072,85.648
0.0422675,84.955
0.0423278,83.412
0.0423881,80.438
0.0424484,78.663
0.0425087,76.981
0.0425690,77.049
0.0426293,80.318
0.0426896,83.513
0.0427499,85.745
0.0428102,86.378
0.0428705,86.011
0.0429308,83.667
0.0429911,80.629
0.0430514,75.584
0.0431117,73.487
0.0431720,74.094
0.0432323,76.996
0.0432926,79.951
0.0433529,77.869
0.0434132,71.607
0.0434735,65.933
0.0435338,65.404
0.0435940,68.963
0.0436543,72.929
0.0437146,75.090
0.0437749,74.509
0.0438352,72.835
0.0438955,71.206
0.0439558,70.970
0.0440161,70.075
0.0440764,70.236
0.0441367,68.116
0.0441970,65.903
0.0442573,64.914
0.0443176,67.356
0.0443779,67.629
0.0444382,66.176
0.0444985,65.210
0.0445588,63.940
0.0446191,64.685
0.0446794,65.573
0.0447397,67.322
0.0448000,66.562
0.0448603,66.843
0.0449206,66.985
0.0449809,65.933
0.0450412,65.738
0.0451014,66.596
0.0451617,70.918
0.0452220,73.240
0.0452823,65.955
0.0453426,63.386
0.0454029,60.566
0.0454632,61.075
0.0455235,63.045
0.0455838,66.195
0.0456441,68.468
0.0457044,68.554
0.0457647,67.775
0.0458250,66.199
0.0458853,65.030
0.0459456,66.045
