Distance_(m),Gray_Value
0.047502,2.6303
0.047564,0.0204
0.047626,0.0000
0.047687,1.0000
0.047749,2.0000
0.047810,2.6667
0.047872,3.6667
0.047934,4.3333
0.047995,5.2620
0.048057,3.5837
0.048119,2.6667
0.048180,1.0000
0.048242,2.4702
0.048303,5.8705
0.048365,9.8627
0.048427,13.9258
0.048488,17.9539
0.048550,17.6667
0.048611,19.7496
0.048673,23.1339
0.048735,25.8409
0.048796,27.9985
0.048858,28.4323
0.048920,27.6667
0.048981,27.6667
0.049043,24.8079
0.049104,25.5619
0.049166,26.3333
0.049228,24.5070
0.049289,23.2984
0.049351,21.8734
0.049412,22.4464
0.049474,21.1169
0.049536,19.1208
0.049597,17.5395
0.049659,17.0000
0.049720,14.2606
0.049782,13.3333
0.049844,9.5080
0.049905,9.0000
0.049967,8.3333
0.050029,10.7593
0.050090,12.6448
0.050152,15.6807
0.050213,20.1761
0.050275,24.6696
0.050337,30.0277
0.050398,36.5594
0.050460,40.7409
0.050521,40.3780
0.050583,42.6409
0.050645,44.9054
0.050706,48.0000
0.050768,53.7302
0.050829,57.3450
0.050891,61.4124
0.050953,64.6667
0.051014,66.0990
0.051076,53.1786
0.051138,45.7637
0.051199,53.9170
0.051261,69.6992
0.051322,76.1009
0.051384,69.6667
0.051446,61.2552
0.051507,57.1965
0.051569,64.3333
0.051630,73.9306
0.051692,74.8734
0.051754,60.3333
0.051815,45.2756
0.051877,46.1218
0.051938,55.2780
0.052000,61.6769
0.052062,61.7734
0.052123,61.0000
0.052185,58.4842
0.052247,53.0412
0.052308,45.5910
0.052370,40.6327
0.052431,36.7569
0.052493,33.2358
0.052555,37.3348
0.052616,42.3134
0.052678,42.2475
0.052739,41.7734
0.052801,41.0136
0.052863,44.3188
0.052924,49.0000
0.052986,50.7200
0.053047,54.7191
0.053109,48.9568
0.053171,36.5609
0.053232,35.8093
0.053294,48.1266
0.053356,62.0713
0.053417,68.2242
0.053479,52.4978
0.053540,55.9646
0.053602,56.9491
0.053664,52.4270
0.053725,48.1543
0.053787,50.5590
0.053848,59.9500
0.053910,65.3600
0.053972,72.1994
0.054033,70.2125
0.054095,69.5575
0.054156,69.4905
0.054218,66.7458
0.054280,64.0864
0.054341,64.1252
0.054403,66.2470
0.054465,65.4119
0.054526,69.7962
0.054588,70.5032
0.054649,60.3726
0.054711,46.6376
0.054773,43.5682
0.054834,49.3639
0.054896,53.7482
0.054957,51.1179
0.055019,38.1984
0.055081,28.7787
0.055142,26.0737
0.055204,27.6667
0.055265,33.9971
0.055327,43.8006
0.055389,53.0941
0.055450,52.4381
0.055512,46.0694
0.055574,45.9491
0.055635,53.7656
0.055697,61.8205
0.055758,63.0000
0.055820,59.4512
0.055882,56.6822
0.055943,50.1960
0.056005,55.1703
0.056066,61.7312
0.056128,65.1887
0.056190,67.1732
0.056251,67.9122
0.056313,63.0956
0.056374,59.1951
0.056436,63.5556
0.056498,68.7365
0.056559,74.3231
0.056621,77.7069
0.056683,77.5196
0.056744,73.5415
0.056806,64.4372
0.056867,55.3309
0.056929,56.4003
0.056991,59.9811
0.057052,58.4537
0.057114,52.0160
0.057175,44.5696
0.057237,45.4241
0.057299,56.8297
0.057360,65.1747
0.057422,63.3823
0.057483,46.7846
0.057545,31.5774
0.057607,25.3362
0.057668,24.9330
0.057730,24.3707
0.057792,24.1276
0.057853,26.9127
0.057915,36.9001
0.057976,45.8074
0.058038,42.2547
0.058100,28.8622
0.058161,30.6594
0.058223,50.0393
0.058284,61.6667
0.058346,62.2411
0.058408,56.4964
0.058469,50.2484
0.058531,47.6875
0.058593,51.4571
0.058654,59.3333
0.058716,61.3008
0.058777,62.7817
0.058839,61.7181
0.058901,60.4702
0.058962,59.6157
0.059024,58.4590
0.059085,57.6681
0.059147,58.4774
0.059209,61.9209
0.059270,66.5953
0.059332,68.3100
0.059393,69.3658
0.059455,69.1582
0.059517,66.6638
0.059578,59.5633
0.059640,49.7831
0.059702,46.4643
0.059763,47.0456
0.059825,47.1000
0.059886,38.5895
0.059948,47.5653
0.060010,56.4299
0.060071,53.0000
0.060133,37.8205
0.060194,34.2897
0.060256,41.1485
0.060318,42.1334
0.060379,38.5104
0.060441,32.2707
0.060502,23.7686
0.060564,19.8937
0.060626,26.6812
0.060687,36.6841
0.060749,37.3969
0.060811,31.9651
0.060872,32.7006
0.060934,27.3445
0.060995,31.6099
0.061057,48.7467
0.061119,60.4022
0.061180,62.3755
0.061242,64.0500
0.061303,66.0000
0.061365,67.5983
0.061427,67.0000
0.061488,65.3333
0.061550,61.9330
0.061611,54.9782
0.061673,52.5318
0.061735,56.1121
0.061796,59.7603
0.061858,61.1810
0.061920,61.2969
0.061981,62.1902
0.062043,62.4245
0.062104,61.4047
0.062166,55.6642
0.062228,43.2494
0.062289,35.7132
0.062351,37.0000
0.062412,43.4076
0.062474,50.7817
0.062536,52.7545
0.062597,53.8962
0.062659,51.8908
0.062720,45.7278
0.062782,39.5803
0.062844,26.7889
0.062905,29.4071
0.062967,31.0660
0.063029,27.7249
0.063090,25.1567
0.063152,24.7652
0.063213,29.4396
0.063275,33.1839
0.063337,45.9030
0.063398,45.1819
0.063460,44.5774
0.063521,41.0737
0.063583,38.2096
0.063645,42.0485
0.063706,52.2654
0.063768,56.3333
0.063829,60.0427
0.063891,61.3838
0.063953,63.0873
0.064014,65.0990
0.064076,65.7773
0.064138,64.1223
0.064199,59.9345
0.064261,58.9093
0.064322,63.8806
0.064384,64.4415
0.064446,66.0000
0.064507,66.6667
0.064569,67.7283
0.064630,66.3076
0.064692,62.9549
0.064754,61.3333
0.064815,52.2523
0.064877,46.5400
0.064938,43.1824
0.065000,53.5716
0.065062,58.0000
0.065123,58.7943
0.065185,56.0262
0.065247,50.7889
0.065308,34.3309
0.065370,32.0999
0.065431,31.9229
0.065493,33.9549
0.065555,36.3096
0.065616,34.3275
0.065678,27.8399
0.065739,24.0500
0.065801,19.5022
0.065863,27.5284
0.065924,39.9335
0.065986,47.1383
0.066047,41.7273
0.066109,34.4847
0.066171,42.3290
0.066232,57.1485
0.066294,55.4304
0.066356,53.2780
0.066417,52.4469
0.066479,55.5371
0.066540,61.7176
0.066602,65.7841
0.066664,67.7996
0.066725,68.6114
0.066787,68.3717
0.066848,66.3013
0.066910,63.9025
0.066972,63.7807
0.067033,65.1131
0.067095,66.1354
0.067157,64.7191
0.067218,63.1742
0.067280,59.0000
0.067341,56.8481
0.067403,55.8404
0.067465,59.2489
0.067526,61.1582
0.067588,59.8598
0.067649,59.8326
0.067711,60.0078
0.067773,59.1116
0.067834,61.7263
0.067896,50.7196
0.067957,35.5328
0.068019,32.4745
0.068081,32.0442
0.068142,30.5861
0.068204,33.7817
0.068266,28.7482
0.068327,31.0757
0.068389,38.8894
0.068450,45.5842
0.068512,41.0742
0.068574,36.9869
0.068635,48.4362
0.068697,63.2106
0.068758,65.9913
0.068820,69.3164
0.068882,67.9874
0.068943,63.3741
0.069005,53.2955
0.069066,53.1436
0.069128,56.8472
0.069190,57.9219
0.069251,63.3411
0.069313,64.5327
0.069375,64.0000
0.069436,60.7458
0.069498,60.4964
0.069559,61.5391
0.069621,55.7035
0.069683,48.7307
0.069744,46.4847
0.069806,44.7099
0.069867,44.7016
0.069929,52.6507
0.069991,56.4381
0.070052,56.0000
0.070114,56.1703
0.070175,60.6667
0.070237,59.2838
0.070299,59.9534
0.070360,56.2688
0.070422,50.6900
0.070484,47.5711
0.070545,48.1111
0.070607,45.6084
0.070668,40.7647
0.070730,38.5619
0.070792,36.9869
0.070853,38.7530
0.070915,33.3280
0.070976,28.3901
0.071038,38.0490
0.071100,56.1048
0.071161,65.1164
0.071223,41.4871
0.071284,40.0000
0.071346,45.0509
0.071408,53.8612
0.071469,55.9413
0.071531,51.4541
0.071593,49.2397
0.071654,52.0767
0.071716,58.1033
0.071777,64.2208
0.071839,66.3333
0.071901,64.1194
0.071962,61.7322
0.072024,61.0112
0.072085,57.7103
0.072147,53.2120
0.072209,52.8258
0.072270,64.3261
0.072332,71.7632
0.072393,72.0097
0.072455,65.6405
0.072517,61.6851
0.072578,61.5492
0.072640,62.8748
0.072702,52.2848
0.072763,50.5085
0.072825,50.4498
0.072886,52.0689
0.072948,55.3624
0.073010,56.2620
0.073071,53.8646
0.073133,51.3862
0.073194,43.6143
0.073256,36.8704
0.073318,28.7623
0.073379,24.9127
0.073441,28.2538
0.073502,38.0718
0.073564,51.0000
0.073626,60.6667
0.073687,68.4968
0.073749,64.5444
0.073811,56.0000
0.073872,50.6541
0.073934,50.3071
0.073995,54.9369
0.074057,62.9719
0.074119,68.4090
0.074180,73.1494
0.074242,78.2028
0.074303,80.5080
0.074365,74.6283
0.074427,66.5119
0.074488,63.2096
0.074550,68.0277
0.074611,74.2441
0.074673,85.4090
0.074735,83.7928
0.074796,73.8103
0.074858,58.0786
0.074920,50.6274
0.074981,54.3333
0.075043,60.0888
0.075104,61.5366
0.075166,58.9311
0.075228,51.6972
0.075289,46.0466
0.075351,45.6332
0.075412,48.0888
0.075474,46.8035
0.075536,38.8156
0.075597,30.4803
0.075659,26.3333
0.075720,25.8142
0.075782,26.4818
0.075844,26.4362
0.075905,24.9214
0.075967,23.8064
0.076029,22.5434
0.076090,22.3503
0.076152,26.5357
0.076213,30.9922
0.076275,39.4736
0.076337,48.9534
0.076398,58.6264
0.076460,65.1708
0.076521,67.7715
0.076583,68.3333
0.076645,68.8564
0.076706,67.8355
0.076768,64.6604
0.076830,61.5352
0.076891,58.7103
0.076953,60.5740
0.077014,64.7040
0.077076,67.3872
0.077138,69.9287
0.077199,68.5604
0.077261,65.9913
0.077322,64.8001
0.077384,63.6211
0.077446,65.2082
0.077507,67.0349
0.077569,66.1189
0.077630,57.3159
0.077692,49.7720
0.077754,44.5944
0.077815,39.1223
0.077877,34.1160
0.077939,29.0767
0.078000,21.0655
0.078062,15.0053
0.078123,10.6094
0.078185,6.7031
0.078247,4.0000
0.078308,4.0000
0.078370,4.7293
0.078431,6.6667
0.078493,6.5022
0.078555,5.5648
0.078616,5.8588
0.078678,4.2038
0.078739,4.2154
0.078801,4.2271
0.078863,4.3964
0.078924,5.1383
0.078986,6.8569
0.079048,6.8855
0.079109,10.4454
0.079171,11.4182
0.079232,11.7409
0.079294,12.6929
0.079356,13.6696
0.079417,11.6633
0.079479,11.3115
0.079540,9.2999
0.079602,10.7419
0.079664,9.0568
0.079725,8.0000
0.079787,6.3333
0.079848,5.1805
0.079910,4.1611
0.079972,4.0650
0.080033,4.0378
0.080095,3.3333
0.080157,4.3333
0.080218,5.1718
0.080280,3.3333
0.080341,2.0000
0.080403,0.8035
0.080465,1.7918
0.080526,2.6667
0.080588,5.4876
0.080649,5.3333
0.080711,4.3333
0.080773,3.3333
0.080834,2.6667
0.080896,1.7103
0.080957,0.6987
0.081019,0.0000
0.081081,2.0000
0.081142,2.0000
0.081204,2.0000
0.081266,2.4270
0.081327,2.0000
0.081389,2.0000
0.081450,2.0000
0.081512,2.0000
0.081574,5.0000
0.081635,5.0000
0.081697,7.6667
0.081758,7.6667
0.081820,9.8690
0.081882,11.6827
0.081943,14.1790
0.082005,15.8341
0.082066,19.3406
0.082128,16.8559
0.082190,15.2237
0.082251,15.2431
0.082313,16.4867
0.082375,16.9486
0.082436,16.9680
0.082498,15.5924
0.082559,10.4585
0.082621,12.3071
0.082683,15.0000
0.082744,17.4260
0.082806,18.3173
0.082867,18.1038
0.082929,17.1232
0.082991,15.6856
0.083052,19.0611
0.083114,17.1815
0.083175,14.3333
0.083237,11.6667
0.083299,9.9229
0.083360,10.6667
0.083422,11.4338
0.083484,12.4454
0.083545,12.9301
0.083607,13.0000
0.083668,13.2712
0.083730,12.0000
0.083792,13.6196
0.083853,15.1315
0.083915,18.1936
0.083976,22.4959
0.084038,26.4886
0.084100,28.0699
0.084161,30.3954
0.084223,33.6667
0.084284,36.9534
0.084346,40.9030
0.084408,44.1625
0.084469,47.1819
